1,positive regulation of DNA repair by positive regulation of transcription from RNA polymerase II promoter (GO:1900404),0.000080164,-6.5547763617,61.8209546233,"['HDAC5', 'PCNA', 'STAT1', 'STAT3', 'FOS', 'BRCC3', 'KAT2B', 'TRAF6', 'MYOD1', 'IRF1', 'UBC', 'EP300', 'FADD', 'MEF2D']"
2,positive regulation of transcription from RNA polymerase II promoter (GO:0045944),0.0003513477,-7.5627048815,60.1517450293,"['HDAC5', 'NCF1', 'STAT1', 'STAT2', 'ANXA4', 'STAT3', 'FOS', 'BRCA2', 'KAT2B', 'MYOD1', 'IRF1', 'TRAF6', 'UBC', 'DVL2', 'EP300', 'FADD', 'MEF2D']"
3,chromatin-mediated maintenance of transcription (GO:0048096),7.68362889417625E-05,-5.5192835016,52.2887730279,"['KAT2B', 'HDAC5', 'NCF1', 'RBBP4', 'STAT1', 'IRF1', 'STAT3', 'DVL2', 'EP300', 'PADI4', 'FOS', 'BRCA2']"
4,negative regulation of apoptotic process (GO:0043066),7.41030696629734E-05,-5.3982103827,51.3372700866,"['STAT1', 'SRC', 'ANXA4', 'TRAF6', 'STAT3', 'UBC', 'FLNA', 'ERCC5', 'CALR', 'CBL', 'IFIT3']"
5,canonical Wnt signaling pathway involved in negative regulation of apoptotic process (GO:0044336),5.25561259088494E-05,-5.0725774554,49.9832957838,"['SRC', 'ANXA4', 'TRAF6', 'STAT3', 'UBC', 'DVL2', 'FLNA', 'ERCC5', 'CBL', 'IFIT3']"
6,positive regulation of telomeric RNA transcription from RNA pol II promoter (GO:1901582),0.0008334223,-6.2522565886,44.3283121603,"['KAT2B', 'HDAC5', 'STAT1', 'TRAF6', 'MYOD1', 'IRF1', 'STAT3', 'UBC', 'EP300', 'FOS', 'FADD', 'MEF2D']"
7,positive regulation of mating type switching by positive regulation of transcription from RNA polymerase II promoter (GO:1900423),0.0008334223,-6.2508905336,44.3186268709,"['KAT2B', 'HDAC5', 'STAT1', 'TRAF6', 'MYOD1', 'IRF1', 'STAT3', 'UBC', 'EP300', 'FOS', 'FADD', 'MEF2D']"
8,positive regulation of transcription from RNA polymerase II promoter involved in stress response to cadmium ion (GO:1902901),0.0008334223,-6.2399389475,44.240980453,"['KAT2B', 'HDAC5', 'STAT1', 'TRAF6', 'MYOD1', 'IRF1', 'STAT3', 'UBC', 'EP300', 'FOS', 'FADD', 'MEF2D']"
9,positive regulation of transcription from RNA polymerase II promoter by histone modification (GO:1903757),0.0008334223,-6.2372913549,44.222209101,"['KAT2B', 'HDAC5', 'STAT1', 'TRAF6', 'MYOD1', 'IRF1', 'STAT3', 'UBC', 'EP300', 'FOS', 'FADD', 'MEF2D']"
10,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter (GO:1900461),0.0008334223,-6.2362620639,44.2149114587,"['KAT2B', 'HDAC5', 'STAT1', 'TRAF6', 'MYOD1', 'IRF1', 'STAT3', 'UBC', 'EP300', 'FOS', 'FADD', 'MEF2D']"
