,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
221,STAT3,P40763,physical,STAT1,P42224,BIOGRID
250,EIF2AK2,P19525,physical,STAT1,P42224,BIOGRID
284,LMNA,P02545,physical,RBBP4,Q09028,BIOGRID
311,ITGAV,P06756,physical,STAT1,P42224,BIOGRID
409,MAP3K8,P41279,physical,MAP2K4,P45985,BIOGRID
421,SORT1,Q99523,physical,GGA2,Q9UJY4,BIOGRID
2055,EIF2AK2,P19525,physical,STAT3,P40763,BIOGRID
2262,STAT3,P40763,physical,NDUFA13,Q9P0J0,BIOGRID
2535,BRCA2,P51587,physical,BCCIP,Q9P287,BIOGRID
4831,AGFG1,P52594,,CLTC,Q00610,STRING
5036,AURKC,Q9UQB9,,TUBA4A,P68366,STRING
5221,CDK1,P06493,,TUBA4A,P68366,STRING
5265,CDK1,P06493,,AURKC,Q9UQB9,STRING
5613,BECN1,Q14457,,STAT3,P40763,STRING
6278,BRCA2,P51587,,BRIP1,Q9BX63,STRING
6512,CDK1,P06493,,BRCA2,P51587,STRING
6563,POLD1,P28340,,BRIP1,Q9BX63,STRING
6639,POLD1,P28340,,BRCA2,P51587,STRING
6649,POLD1,P28340,,CDK1,P06493,STRING
6724,CALR,P27797,,ITGAV,P06756,STRING
7066,CAV1,Q03135,,CDC42,P60953,STRING
7172,PTPN1,P18031,,STAT3,P40763,STRING
7193,PTPN1,P18031,,CAV1,Q03135,STRING
7526,SRF,P11831,,SPI1,P17947,STRING
7693,CDC42,P60953,,SPI1,P17947,STRING
7731,CDC42,P60953,,TUBA4A,P68366,STRING
7788,CDC42,P60953,,MAP2K4,P45985,STRING
7831,CDC42,P60953,,SRF,P11831,STRING
7856,CDC42,P60953,,MEF2D,Q14814,STRING
8383,ENAH,Q8N8S7,,CDC42,P60953,STRING
8640,CDK1,P06493,,STAT3,P40763,STRING
8647,CDK1,P06493,,SRF,P11831,STRING
8696,CDK1,P06493,,CDC42,P60953,STRING
10150,CDK1,P06493,,SKP1,P63208,STRING
10733,CDK1,P06493,,LMNA,P02545,STRING
10767,CDK1,P06493,,PTPN1,P18031,STRING
10782,CDK1,P06493,,RBBP4,Q09028,STRING
10867,CDK1,P06493,,SQSTM1,Q13501,STRING
11567,GGA2,Q9UJY4,,CLTC,Q00610,STRING
11703,FASLG,P48023,,CLTC,Q00610,STRING
12142,UBE2L3,P68036,,SKP1,P63208,STRING
12547,CUL2,Q13617,,SKP1,P63208,STRING
12734,CUL2,Q13617,,UBE2L3,P68036,STRING
12980,LMNA,P02545,,DCLK1,O15075,STRING
14050,IFIT3,O14879,,EIF2AK2,P19525,STRING
14070,IFIT3,O14879,,STAT1,P42224,STRING
14130,ILF3,Q12906,,EIF2AK2,P19525,STRING
14668,GGA2,Q9UJY4,,RABGEF1,Q9UJ41,STRING
15223,ILF3,Q12906,,TUBA4A,P68366,STRING
15347,ILF3,Q12906,,PTPN1,P18031,STRING
15659,KIF3A,Q9Y496,,TUBA4A,P68366,STRING
16018,MAP3K8,P41279,,SKP1,P63208,STRING
16235,PPP3CA,Q08209,,MEF2D,Q14814,STRING
16540,STAT6,P42226,,STAT3,P40763,STRING
17131,STAT1,P42224,,STAT6,P42226,STRING
17418,PTPN1,P18031,,STAT6,P42226,STRING
17474,PTPN1,P18031,,STAT1,P42224,STRING
18399,FASLG,P48023,,MAP2K4,P45985,STRING
22054,STAT6,P42226,,SPI1,P17947,STRING
22160,STAT1,P42224,,SPI1,P17947,STRING
27978,CUL2,Q13617,,CLH1,Q00610,APID
28058,CUL2,Q13617,,ILF3,Q12906,APID
28229,CUL2,Q13617,,TBA4A,P68366,APID
28312,CUL2,Q13617,,SQSTM,Q13501,APID
28866,CAZA2,P47755,,CLH1,Q00610,APID
29370,MK03,P27361,,SQSTM,Q13501,APID
29447,MK03,P27361,,STAT3,P40763,APID
29463,MK03,P27361,,HSF4,Q9ULV5,APID
29524,MK03,P27361,,ITAV,P06756,APID
29592,MK03,P27361,,CAV1,Q03135,APID
29886,CDC42,P60953,,E2AK2,P19525,APID
30321,CAV1,Q03135,,RABX5,Q9UJ41,APID
30372,CAV1,Q03135,,CLH1,Q00610,APID
30440,CAV1,Q03135,,SQSTM,Q13501,APID
30686,E2AK2,P19525,,CDK1,P06493,APID
30828,M3K8,P41279,,CLH1,Q00610,APID
31093,ILF3,Q12906,,IFIT3,O14879,APID
31445,CDK1,P06493,,SORT,Q99523,APID
32023,FANCJ,Q9BX63,,LMNA,P02545,APID
32078,LMNA,P02545,,BKRB2,P30411,APID
